NAME,LINK,TYPE,FROM
Crispy egg salad,https://www.instagram.com/reel/CyipBgdO9T5/?igsh=anFvZGIyM2pmcW0z,,
Italian Brushetta,https://www.instagram.com/reel/C1HzMwCvlOQ/?igsh=MW5vbTF6eXFmY3J3bw==,,
Potatoes stuffed Mirchi Bajji,https://www.instagram.com/reel/C03-a1CSKFL/?igsh=MXNmOXg4ZmM5ZDQyYQ==,,
Wallnut Halwa,https://www.instagram.com/reel/C1E6jI7y_Kv/?igsh=MWh2Ym1rcDg1YjYzdg==,,
Onion Pakodi,https://www.instagram.com/reel/C1FekfrybDG/?igsh=MWp0MDFyNW8zZWV3bQ==,,
Hyderabad’s style chicken,https://www.instagram.com/reel/C0oZjtCpYc0/?igsh=MWhmejZ1dHcxNnl6Zw==,,
Milk cake,https://www.instagram.com/reel/C0vk0SdMDYe/?igsh=MTY1ZmV1eWNmejhzOQ==,,
Lasania,https://www.instagram.com/reel/CzrgLDTP_Fv/?igsh=eGg2bjlobnZ6NnQ0,Italian Main Course,Instagram
Methi be San mattar,https://www.instagram.com/reel/C04LMpGofPP/?igsh=MWt3aGd2dTN4dW9leQ==,,
Afghanistan Mashroom,https://www.instagram.com/reel/CztJyo-Lusk/?igsh=b2R2M3U1YzByYTFy,,
Kesarbadham,https://www.instagram.com/reel/C0G_1P2L4V9/?igsh=bHphb3d6ZzExcWQ=,,
Crispy baby corn,https://www.instagram.com/reel/C0QpDhiLoPz/?igsh=MW93MDBzdTMzcTB5cQ== ,,
Bro ki  Almond soup,https://www.instagram.com/reel/C0TOFVbLH2f/?igsh=MTExbHdjb3BzMzcwNA==,,
Methi malai,https://www.instagram.com/reel/C0jFpGxKtlQ/?igsh=MTZwc254Y2dxNmhhdA==,,
Loaded Bread Dipping Oil Appetizer,https://www.instagram.com/reel/C0zGOSNsl0v/?igsh=MXZmZzQ5ZnFmcHg4cA==,,
Hyderabadi Paneer,https://www.instagram.com/reel/C0T2mE0sSKk/?igsh=azBzcTE4ejcwNnc1,,
Chicken Lollipop,https://www.instagram.com/reel/C080NCxPzoO/?igshid=N2ViNmM2MDRjNw==,,
Chicken soup,https://www.facebook.com/share/r/bwsHfbUbsAXhxfVg/?mibextid=7niigQ,,
Chicken Piccata,https://www.instagram.com/reel/C0rHBaqNSus/?igshid=N2ViNmM2MDRjNw==,,
FOCACCIA,https://www.instagram.com/reel/CzesuSIqOYR/?igshid=N2ViNmM2MDRjNw==,,
